iter	Passed	Remaining
953	20381	982
954	20403	961
955	20421	939
956	20438	918
957	20460	896
958	20480	875
959	20500	854
960	20517	832
961	20538	811
962	20556	789
963	20579	768
964	20606	747
965	20642	726
966	20680	705
967	20704	684
968	20736	663
969	20756	641
970	20776	620
971	20792	598
972	20812	577
973	20831	556
974	20851	534
975	20870	513
976	20894	491
977	20918	470
978	20934	449
979	20953	427
980	20981	406
981	20994	384
982	21016	363
983	21047	342
984	21072	320
985	21098	299
986	21116	278
987	21138	256
988	21159	235
989	21182	213
990	21200	192
991	21276	171
992	21295	150
993	21330	128
994	21349	107
995	21373	85
996	21396	64
997	21427	42
998	21464	21
999	21488	0
